"Program","Year","Period","Geo.Level","State","State.ANSI","Market","Measure","Unit","Domain","Chemical","Code","Value","CV...."
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",-1,"PROCESSING","PRICE RECEIVED, 10 YEAR AVG FOR PARITY PURPOSES","$ / TON","NOT SPECIFIED","NOT SPECIFIED",NA,44.4,""
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",-1,"PROCESSING","PRICE RECEIVED, 10 YEAR AVG","$ / TON","NOT SPECIFIED","NOT SPECIFIED",NA,44.4,""
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",-1,"PROCESSING","PRICE RECEIVED, ADJUSTED BASE","$ / TON","NOT SPECIFIED","NOT SPECIFIED",NA,4.05,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"OTHER","YIELD","CWT / ACRE","NOT SPECIFIED","NOT SPECIFIED",NA,575,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB","INSECTICIDE","ABAMECTIN",122804,300,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","AZOXYSTROBIN",128810,0.234,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","BORAX DECAHYDRATE",11102,0.042,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","BOSCALID",128008,0.354,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","CAPTAN",81301,1.693,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","CYPRODINIL",288202,0.316,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","FENHEXAMID",90209,0.659,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","FLUDIOXONIL",71503,0.211,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","FLUOPYRAM",80302,0.119,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","FLUXAPYROXAD",138009,0.161,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","MEFENOXAM",113502,0.5,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","MYCLOBUTANIL",128857,0.105,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","PENTHIOPYRAD",90112,0.271,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","POLYOXIN D ZINC SALT",230000,0.061,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","PROPICONAZOLE",122101,0.112,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","PYRACLOSTROBIN",99100,0.167,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","PYRIMETHANIL",288201,0.658,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","QUINOLINE",55459,0.095,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","SULFUR",77501,5.471,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","TETRACONAZOLE",120603,0.036,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","THIOPHANATE-METHYL",102001,0.695,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","THIRAM",79801,2.201,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","TRIFLOXYSTROBIN",129112,0.119,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","HERBICIDE","FLUMIOXAZIN",129034,0.078,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","HERBICIDE","PENDIMETHALIN",108501,0.923,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","ABAMECTIN",122804,0.019,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","ACEQUINOCYL",6329,0.299,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","ACETAMIPRID",99050,0.129,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","AZADIRACHTIN",121701,0.03,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","BIFENAZATE",586,0.5,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","BIFENTHRIN",128825,0.116,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","CHLORANTRANILIPROLE",90100,0.063,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","CYANTRANILIPROLE",90098,0.117,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","CYFLUMETOFEN",138831,0.178,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","FENPROPATHRIN",127901,0.26,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","FLONICAMID",128016,0.087,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","FLUPYRADIFURONE",122304,0.182,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","HEXYTHIAZOX",128849,0.186,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","IMIDACLOPRID",129099,0.457,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","MALATHION",57701,1.807,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","METHOXYFENOZIDE",121027,0.169,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","NOVALURON",124002,0.077,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","SPINETORAM",110007,0.071,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","SPINOSAD",110003,0.094,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","INSECTICIDE","THIAMETHOXAM",60109,0.062,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","OTHER","CHLOROPICRIN",81501,188.284,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","OTHER","DICHLOROPROPENE",29001,111.391,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","OTHER","FLUTRIAFOL",128940,0.114,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FERTILIZER","NITROGEN",NA,13,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FERTILIZER","PHOSPHATE",NA,10,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FERTILIZER","POTASH",NA,13,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","AZOXYSTROBIN",128810,0.326,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","BORAX DECAHYDRATE",11102,0.093,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","BOSCALID",128008,0.885,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","CAPTAN",81301,15.932,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","CYPRODINIL",288202,0.872,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","FENHEXAMID",90209,0.753,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","FLUDIOXONIL",71503,0.599,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","FLUOPYRAM",80302,0.389,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","FLUXAPYROXAD",138009,0.294,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","MEFENOXAM",113502,0.727,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","MYCLOBUTANIL",128857,0.546,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","PENTHIOPYRAD",90112,0.49,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","POLYOXIN D ZINC SALT",230000,0.109,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","PROPICONAZOLE",122101,0.174,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","PYRACLOSTROBIN",99100,0.355,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","PYRIMETHANIL",288201,1.036,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","QUINOLINE",55459,0.193,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","SULFUR",77501,38.761,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","TETRACONAZOLE",120603,0.059,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","THIOPHANATE-METHYL",102001,1.667,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","THIRAM",79801,8.873,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FUNGICIDE","TRIFLOXYSTROBIN",129112,0.39,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","HERBICIDE","FLUMIOXAZIN",129034,0.315,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","HERBICIDE","PENDIMETHALIN",108501,5.892,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","ABAMECTIN",122804,0.025,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","ACEQUINOCYL",6329,0.65,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","ACETAMIPRID",99050,0.181,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","AZADIRACHTIN",121701,0.114,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","BIFENAZATE",586,1.094,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","BIFENTHRIN",128825,0.178,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","CHLORANTRANILIPROLE",90100,0.158,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","CYANTRANILIPROLE",90098,0.241,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","CYFLUMETOFEN",138831,0.397,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","FENPROPATHRIN",127901,0.327,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","FLONICAMID",128016,0.197,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","FLUPYRADIFURONE",122304,0.317,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","HEXYTHIAZOX",128849,0.227,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","IMIDACLOPRID",129099,0.496,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","MALATHION",57701,2.398,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","METHOXYFENOZIDE",121027,0.276,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","NOVALURON",124002,0.232,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","SPINETORAM",110007,0.125,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","SPINOSAD",110003,0.173,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","INSECTICIDE","THIAMETHOXAM",60109,0.092,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","OTHER","CHLOROPICRIN",81501,442.413,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","OTHER","DICHLOROPROPENE",29001,131.091,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","OTHER","FLUTRIAFOL",128940,0.218,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FERTILIZER","NITROGEN",NA,165,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FERTILIZER","PHOSPHATE",NA,88,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","LB / ACRE / YEAR, AVG","FERTILIZER","POTASH",NA,141,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","AZOXYSTROBIN",128810,1.4,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","BORAX DECAHYDRATE",11102,2.2,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","BOSCALID",128008,2.5,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","CAPTAN",81301,9.4,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","CYPRODINIL",288202,2.8,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","FENHEXAMID",90209,1.1,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","FLUDIOXONIL",71503,2.8,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","FLUOPYRAM",80302,3.3,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","FLUXAPYROXAD",138009,1.8,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","MEFENOXAM",113502,1.5,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","MYCLOBUTANIL",128857,5.2,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","PENTHIOPYRAD",90112,1.8,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","POLYOXIN D ZINC SALT",230000,1.8,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","PROPICONAZOLE",122101,1.6,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","PYRACLOSTROBIN",99100,2.1,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","PYRIMETHANIL",288201,1.6,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","QUINOLINE",55459,2,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","SULFUR",77501,7.1,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","TETRACONAZOLE",120603,1.6,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","THIOPHANATE-METHYL",102001,2.4,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","THIRAM",79801,4,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","FUNGICIDE","TRIFLOXYSTROBIN",129112,3.3,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","HERBICIDE","FLUMIOXAZIN",129034,4.1,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","HERBICIDE","PENDIMETHALIN",108501,6.4,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","ABAMECTIN",122804,1.3,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","ACEQUINOCYL",6329,2.2,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","ACETAMIPRID",99050,1.4,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","AZADIRACHTIN",121701,3.8,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","BIFENAZATE",586,2.2,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","BIFENTHRIN",128825,1.5,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","BT KURSTAKI ABTS-351",6522,1.5,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","BT KURSTAKI SA-11",6519,3.1,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","CHLORANTRANILIPROLE",90100,2.5,""
"SURVEY",2023,"YEAR","STATE","CALIFORNIA",6,"BEARING","APPLICATIONS","NUMBER, AVG","INSECTICIDE","CYANTRANILIPROLE",90098,2.1,""
